# TEST CONFIGURATION BEGIN
# FileStream(filename='led_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] MetaClassifier(active_learning=True, base_estimators=[HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=... meta_estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None, early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True, l1_ratio=0.15, learning_rate='optimal', loss='hinge', max_iter=1000, n_iter_no_change=5, n_jobs=None, penalty='l2', power_t=0.5, random_state=None, shuffle=True, tol=0.001, validation_fraction=0.1, verbose=0, warm_start=False), mfe_groups=['general', 'statistical', 'info-theory'], window_size=300)
# EvaluatePrequential(batch_size=200, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='meta.MetaClassifier.led_gen.csv', pretrain_size=500, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
500,0.270000,0.270000,0.188483,0.188483
700,0.305000,0.340000,0.227520,0.266116
900,0.296667,0.280000,0.218538,0.198731
1100,0.293750,0.285000,0.215287,0.205335
1300,0.306000,0.355000,0.229209,0.282556
1500,0.329167,0.445000,0.254758,0.381167
1700,0.328571,0.325000,0.254098,0.250146
1900,0.338750,0.410000,0.265221,0.342289
2100,0.339444,0.345000,0.265920,0.271433
2300,0.344000,0.385000,0.270897,0.314668
2500,0.350909,0.420000,0.278426,0.352859
2700,0.351667,0.360000,0.279199,0.286908
2900,0.356923,0.420000,0.284865,0.350595
3100,0.357857,0.370000,0.285956,0.299416
3300,0.362333,0.425000,0.290953,0.359653
3500,0.366563,0.430000,0.295620,0.364105
3700,0.372059,0.460000,0.301690,0.399616
3900,0.373056,0.390000,0.302741,0.319955
4100,0.372368,0.360000,0.302002,0.288573
4300,0.370000,0.325000,0.299429,0.249374
4500,0.368095,0.330000,0.297319,0.254396
4700,0.369773,0.405000,0.299195,0.338135
4900,0.369783,0.370000,0.299188,0.297698
5100,0.371250,0.405000,0.300850,0.338374
5300,0.371400,0.375000,0.300963,0.304280
5500,0.370577,0.350000,0.300057,0.276934
5700,0.368889,0.325000,0.298224,0.248162
5900,0.368929,0.370000,0.298341,0.300816
6100,0.368276,0.350000,0.297604,0.276632
6300,0.369000,0.390000,0.298465,0.323444
6500,0.369032,0.370000,0.298476,0.297600
6700,0.369688,0.390000,0.299223,0.322505
6900,0.370606,0.400000,0.300237,0.329328
7100,0.371471,0.400000,0.301232,0.332035
7300,0.370714,0.345000,0.300432,0.271656
7500,0.371389,0.395000,0.301173,0.323115
7700,0.371351,0.370000,0.301128,0.301726
7900,0.372105,0.400000,0.301964,0.331271
8100,0.371282,0.340000,0.301061,0.265218
8300,0.370125,0.325000,0.299769,0.247303
8500,0.369390,0.340000,0.298999,0.266157
8700,0.368810,0.345000,0.298387,0.272323
8900,0.369186,0.385000,0.298813,0.316686
9100,0.368977,0.360000,0.298585,0.286848
9300,0.368000,0.325000,0.297515,0.249625
9500,0.367283,0.335000,0.296713,0.260741
9700,0.367021,0.355000,0.296428,0.283214
9900,0.367708,0.400000,0.297215,0.334498
10100,0.368367,0.400000,0.297926,0.330861
10300,0.370100,0.455000,0.299851,0.392453
10500,0.368725,0.300000,0.298335,0.223667
10700,0.367981,0.330000,0.297524,0.256485
10900,0.368019,0.370000,0.297596,0.299221
11100,0.368148,0.375000,0.297746,0.306346
11300,0.367909,0.355000,0.297500,0.283194
11500,0.368214,0.385000,0.297844,0.317425
11700,0.367544,0.330000,0.297105,0.254582
11900,0.367672,0.375000,0.297262,0.306037
12100,0.367966,0.385000,0.297613,0.314840
12300,0.367667,0.350000,0.297280,0.274695
12500,0.366311,0.285000,0.295758,0.198026
12700,0.366371,0.370000,0.295816,0.299903
12900,0.366349,0.365000,0.295796,0.295403
13100,0.367109,0.415000,0.296637,0.349892
13300,0.367846,0.415000,0.297472,0.349765
13500,0.368258,0.395000,0.297924,0.326337
13700,0.368731,0.400000,0.298448,0.332183
13900,0.369191,0.400000,0.298952,0.332610
14100,0.368551,0.325000,0.298244,0.247450
14300,0.368571,0.370000,0.298261,0.295144
14500,0.369296,0.420000,0.299069,0.352949
14700,0.369653,0.395000,0.299500,0.329751
14900,0.370274,0.415000,0.300207,0.349259
15100,0.370068,0.355000,0.299968,0.282017
15300,0.370400,0.395000,0.300353,0.326093
15500,0.370987,0.415000,0.300984,0.345638
15700,0.371299,0.395000,0.301320,0.325097
15900,0.371282,0.370000,0.301299,0.298461
16100,0.370823,0.335000,0.300801,0.261173
16300,0.370750,0.365000,0.300709,0.292144
16500,0.369568,0.275000,0.299400,0.194713
16700,0.370000,0.405000,0.299869,0.338411
16900,0.371024,0.455000,0.301006,0.394142
17100,0.371071,0.375000,0.301053,0.306249
17300,0.371588,0.415000,0.301617,0.344997
17500,0.372151,0.420000,0.302239,0.354210
17700,0.372356,0.390000,0.302454,0.320410
17900,0.371761,0.320000,0.301798,0.243982
18100,0.371910,0.385000,0.301973,0.317141
18300,0.371944,0.375000,0.301998,0.302786
18500,0.371813,0.360000,0.301871,0.287603
18700,0.371902,0.380000,0.301981,0.312562
18900,0.372312,0.410000,0.302442,0.343788
19100,0.372553,0.395000,0.302706,0.327311
19300,0.372526,0.370000,0.302681,0.300058
19500,0.372344,0.355000,0.302473,0.282775
19700,0.372062,0.345000,0.302157,0.271392
19900,0.371990,0.365000,0.302081,0.296496